year,carrier_name,arrivals,delayed,cancelled,diverted,on_time
2003,American Airlines Inc.,434707,81756,6420,1052,0.811928494
2003,Delta Air Lines Inc.,332400,61507,2909,557,0.81496089
2003,SkyWest Airlines Inc.,240401,26497,3628,266,0.889779993
2003,Southwest Airlines Co.,562675,73653,5250,1045,0.869102057
2003,United Air Lines Inc.,320081,55572,2980,558,0.826381447
2004,American Airlines Inc.,698548,148150,12402,1644,0.787917223
2004,Delta Air Lines Inc.,687638,151942,10717,1197,0.779037808
2004,SkyWest Airlines Inc.,463448,69597,9784,798,0.849827812
2004,Southwest Airlines Co.,990404,185595,10103,1781,0.812606775
2004,United Air Lines Inc.,555812,105032,6548,1000,0.811029629
2005,American Airlines Inc.,614614,129941,8608,1462,0.788581126
2005,Delta Air Lines Inc.,658302,137098,17731,1282,0.791739961
2005,SkyWest Airlines Inc.,430090,67377,8446,678,0.843342091
2005,Southwest Airlines Co.,1036034,189099,8759,1638,0.817477998
2005,United Air Lines Inc.,485918,101429,6296,878,0.791263135
2006,American Airlines Inc.,643597,145563,10127,1701,0.773828964
2006,Delta Air Lines Inc.,424119,85919,6219,966,0.797417706
2006,SkyWest Airlines Inc.,548109,113760,12844,640,0.792450042
2006,Southwest Airlines Co.,1099321,206597,8951,1753,0.81206854
2006,United Air Lines Inc.,500008,119391,10238,1088,0.76122182
2007,American Airlines Inc.,633857,178129,17924,2097,0.718976047
2007,Delta Air Lines Inc.,475889,102404,6521,1045,0.784815367
2007,SkyWest Airlines Inc.,597880,130405,14186,823,0.78188767
2007,Southwest Airlines Co.,1168871,220441,9993,1920,0.811406905
2007,United Air Lines Inc.,490002,132461,11929,983,0.729672532
2008,American Airlines Inc.,498449,132616,15113,1610,0.73394269
2008,Delta Air Lines Inc.,415627,93661,6395,1132,0.77465131
2008,SkyWest Airlines Inc.,237003,41438,3839,555,0.825158331
2008,Southwest Airlines Co.,1201754,219757,12389,2454,0.817136452
2008,United Air Lines Inc.,449515,116072,10541,995,0.741783923
2009,American Airlines Inc.,551597,114591,9248,1861,0.79225594
2009,Delta Air Lines Inc.,393319,80037,4589,951,0.796508686
2009,SkyWest Airlines Inc.,365445,59033,5182,858,0.838462696
2009,Southwest Airlines Co.,1132278,181988,8594,1936,0.839272687
2009,United Air Lines Inc.,311714,52847,5266,617,0.830463181
2010,American Airlines Inc.,540963,99108,9146,1957,0.816793385
2010,Delta Air Lines Inc.,668957,131764,13684,1405,0.803030688
2010,SkyWest Airlines Inc.,499506,90860,9485,1376,0.818100283
2010,Southwest Airlines Co.,1124487,217213,11597,2166,0.806833694
2010,United Air Lines Inc.,343081,45154,5010,748,0.868386766
2011,American Airlines Inc.,538179,103978,13527,2024,0.806796623
2011,Delta Air Lines Inc.,608131,101440,9649,1265,0.833193835
2011,SkyWest Airlines Inc.,436276,79017,9860,1120,0.818883001
2011,Southwest Airlines Co.,1155717,201394,12147,2272,0.825741077
2011,United Air Lines Inc.,311212,56255,4880,594,0.819238975
2012,American Airlines Inc.,525220,109752,9569,1777,0.791036137
2012,Delta Air Lines Inc.,662973,84918,2458,1182,0.871913336
2012,SkyWest Airlines Inc.,514086,86086,9785,1038,0.832545527
2012,Southwest Airlines Co.,1140535,180969,9580,1880,0.841329727
2012,United Air Lines Inc.,256564,45449,4108,423,0.822855116
2013,American Airlines Inc.,493626,97695,8780,1657,0.802087005
2013,Delta Air Lines Inc.,754670,113157,2435,1343,0.850057641
2013,SkyWest Airlines Inc.,365702,68697,8722,934,0.81215033
2013,Southwest Airlines Co.,1130704,252944,8440,2101,0.776295122
2013,United Air Lines Inc.,465141,92940,4694,1127,0.80018962
2014,American Airlines Inc.,492584,109463,8066,1841,0.777778003
2014,Delta Air Lines Inc.,534120,86469,6226,1064,0.838109414
2014,SkyWest Airlines Inc.,407827,86598,12658,1092,0.787659964
2014,Southwest Airlines Co.,1174633,299133,15165,2731,0.745339183
2014,United Air Lines Inc.,413591,92244,6834,1060,0.776968067
2015,American Airlines Inc.,725984,130279,10919,2130,0.820548387
2015,Delta Air Lines Inc.,657424,92561,3280,1464,0.859206539
2015,SkyWest Airlines Inc.,442571,77035,6759,1072,0.825937533
2015,Southwest Airlines Co.,1261855,236626,16043,3409,0.812477662
2015,United Air Lines Inc.,472120,95934,5932,1297,0.796801661
